Type of data.;f(vij)obs;prediction_trainig;fref;sIcI;sIcIV;sIIcIV;sIIIcII;sIIIcIII;sIIIcvII;sIVcIV;sVcv;sVIcvI
Original ;0;training;0.4167;0.171;0.737;1.102;0;0;0;0.967;0;0.593
Original ;1;training;0.4167;0.01;1.24;0;0;1.2;1.533;1.615;0;0
Original ;1;training;0.4167;0.244;1.647;0.677;0.632;0;0;1.164;0;0
Original ;1;validation;0.4167;0.306;1.19;0.723;0.818;0.788;1.034;1.153;0;0.887
Original ;1;training;0.4167;0.069;0.521;1.004;0;0.348;1.094;0.471;0.128;0.478
Original ;0;training;0.4167;0.244;0.606;0.328;0.221;0.084;0.857;0.164;0.139;0.162
Original ;1;training;0.4167;0.592;1.302;0.677;0;0;0;1.027;0.54;0.077
Original ;0;validation;0.4167;0.25;1.045;0.451;0;0.005;0.242;0.306;0;0.175
Original ;1;training;0.4167;0.011;0.72;0;0.048;0;0;0.832;0;0.284
Original ;1;training;0.4167;0.45;0.519;0.315;0.169;0.036;0.032;0.368;0.581;0.144
Original ;0;training;0.4167;0.091;0.157;0;0.09;0.224;0.776;0.239;0;0.295
Original ;0;validation;0.4167;0.05;0.747;0.351;0.632;0.07;0.238;0.885;0;0.158
Original ;1;training;0.4167;0.006;0.471;0.471;0.297;0.135;0.707;0.51;0.128;0.27
Original ;0;training;0.4167;0.134;0;0.304;0;0;0;0.297;0.35;0.15
Original ;0;training;0.4167;0.01;0.157;0.643;0;0.029;0.219;0.164;0.191;0.148
Original ;0;validation;0.4167;0.259;0.536;0.288;0;0.054;0;0.247;0.279;0.152
Original ;0;training;0.4167;0.322;0.624;0.763;0.819;0.772;0.347;0.575;0.154;0.886
Original ;0;training;0.4167;0.162;0.674;0.304;0.224;0.024;0.143;0.33;0.26;0.148
Original ;1;training;0.4167;0.389;0.468;0.304;0.224;0.013;0.603;0.33;0.484;0.148
Original ;1;validation;0.4167;0.627;0.545;0.304;0.224;0;0;0.33;0.787;0.148
Original ;0;training;0.4167;0.061;0.157;0.304;0;0.259;0.347;0.297;0.295;0.15
Original ;1;training;0.4167;0.181;1.359;0;0;0;0;1.027;0.371;0.09
